date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:32	7129/7129	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:32%20GMT	https://looksrare.org/_next/static/chunks/879-499db35479decb6e.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/879-499db35479decb6e.js	(from https://looksrare.org/)
17:56:33	3737/3737	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:33%20GMT	https://looksrare.org/_next/static/chunks/2-68e676abe5904bbd.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/2-68e676abe5904bbd.js	(from https://looksrare.org/)
17:56:34	304144/304144	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:30%20GMT	https://looksrare.org/_next/static/chunks/971-5c38d8f200aa6416.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/971-5c38d8f200aa6416.js	(from https://looksrare.org/)
17:56:35	76730/76730	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:34%20GMT	https://looksrare.org/_next/static/chunks/963-52daed7d944becba.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/963-52daed7d944becba.js	(from https://looksrare.org/)
17:56:36	96423/96423	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:35%20GMT	https://looksrare.org/_next/static/chunks/352-7b3d44fee4b536a3.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/352-7b3d44fee4b536a3.js	(from https://looksrare.org/)
17:56:36	29442/29442	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:36%20GMT	https://looksrare.org/_next/static/chunks/269-d6aefb612e19e6bd.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/269-d6aefb612e19e6bd.js	(from https://looksrare.org/)
17:56:37	19036/19036	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:37%20GMT	https://looksrare.org/_next/static/chunks/735-77067408879d3006.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/735-77067408879d3006.js	(from https://looksrare.org/)
17:56:38	12461/12461	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:38%20GMT	https://looksrare.org/_next/static/chunks/763-fe435dea340cdd19.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/763-fe435dea340cdd19.js	(from https://looksrare.org/)
17:56:39	23351/23351	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:39%20GMT	https://looksrare.org/_next/static/chunks/pages/index-bf5bebb6e6965a20.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/pages/index-bf5bebb6e6965a20.js	(from https://looksrare.org/)
17:56:40	3081/3081	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:40%20GMT	https://looksrare.org/_next/static/E0JQCg7VpoPvW--5tF1dU/_buildManifest.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/E0JQCg7VpoPvW--5tF1dU/_buildManifest.js	(from https://looksrare.org/)
